row_no,user_id,amount,merchant_id,merchant_name,mcc_code,timestamp,latitude,longitude,country,device_id
32,054a8368-caf8-44cb-85df-12d9256a8ff2,7200,MCH-c563ceac18,맥도날드,5814,2026-06-19 14:47:00,36.453764,128.344426,KR,DEV-a104864052
33,054a8368-caf8-44cb-85df-12d9256a8ff2,108000,MCH-8fff18fdd2,노션,7372,2026-06-19 22:28:00,36.464741,128.372813,KR,DEV-a104864052
34,054a8368-caf8-44cb-85df-12d9256a8ff2,53100,MCH-ba944121a3,무신사,5651,2026-06-20 09:51:00,36.444035,128.366588,KR,DEV-a104864052
35,054a8368-caf8-44cb-85df-12d9256a8ff2,81000,MCH-ba944121a3,무신사,5651,2026-06-20 10:48:00,36.452377,128.361801,KR,DEV-a104864052
36,054a8368-caf8-44cb-85df-12d9256a8ff2,261000,MCH-8fff18fdd2,노션,7372,2026-06-21 15:07:00,36.479485,128.349104,KR,DEV-a104864052
37,054a8368-caf8-44cb-85df-12d9256a8ff2,4500,MCH-c563ceac18,맥도날드,5814,2026-06-22 08:35:00,36.481738,128.393968,KR,DEV-a104864052
38,054a8368-caf8-44cb-85df-12d9256a8ff2,55800,MCH-493f24c455,쿠팡,5399,2026-06-22 11:09:00,36.45296,128.367856,KR,DEV-a104864052
39,054a8368-caf8-44cb-85df-12d9256a8ff2,14670,MCH-06553b267c,카카오택시,4121,2026-06-22 16:50:00,36.43803,128.382432,KR,DEV-a104864052
40,054a8368-caf8-44cb-85df-12d9256a8ff2,36900,MCH-493f24c455,쿠팡,5399,2026-06-24 08:12:00,36.47206,128.352014,KR,DEV-a104864052
41,054a8368-caf8-44cb-85df-12d9256a8ff2,135000,MCH-bed94775b8,패스트파이브,7011,2026-06-24 18:12:00,36.442735,128.384895,KR,DEV-a104864052
42,054a8368-caf8-44cb-85df-12d9256a8ff2,4500,MCH-fb4fb59d3a,스타벅스,5814,2026-06-25 15:17:00,36.429705,128.367445,KR,DEV-a104864052
43,054a8368-caf8-44cb-85df-12d9256a8ff2,252000,MCH-bed94775b8,패스트파이브,7011,2026-06-25 20:28:00,36.478818,128.354939,KR,DEV-a104864052
44,054a8368-caf8-44cb-85df-12d9256a8ff2,89100,MCH-493f24c455,쿠팡,5399,2026-06-27 15:19:00,36.452274,128.394176,KR,DEV-a104864052
45,054a8368-caf8-44cb-85df-12d9256a8ff2,243000,MCH-bed94775b8,패스트파이브,7011,2026-06-28 15:51:00,36.451815,128.387805,KR,DEV-a104864052
46,054a8368-caf8-44cb-85df-12d9256a8ff2,40500,MCH-ba944121a3,무신사,5651,2026-06-28 16:58:00,36.458472,128.344965,KR,DEV-a104864052
47,054a8368-caf8-44cb-85df-12d9256a8ff2,6660,MCH-0d60345572,버스,4111,2026-06-30 18:04:00,36.444839,128.355322,KR,DEV-a104864052
48,054a8368-caf8-44cb-85df-12d9256a8ff2,12600,MCH-c563ceac18,맥도날드,5814,2026-06-30 20:34:00,36.473257,128.364136,KR,DEV-a104864052
49,054a8368-caf8-44cb-85df-12d9256a8ff2,86400,MCH-493f24c455,쿠팡,5399,2026-07-01 10:08:00,36.439414,128.354467,KR,DEV-a104864052
50,054a8368-caf8-44cb-85df-12d9256a8ff2,72000,MCH-ca5e0a9e0b,AWS,7372,2026-07-01 13:36:00,36.440039,128.387509,KR,DEV-a104864052
51,054a8368-caf8-44cb-85df-12d9256a8ff2,23400,MCH-c563ceac18,맥도날드,5814,2026-07-01 19:00:00,36.428985,128.378274,KR,DEV-a104864052
52,054a8368-caf8-44cb-85df-12d9256a8ff2,10260,MCH-5b1162a765,KTX,4112,2026-07-02 08:18:00,36.442586,128.380188,KR,DEV-a104864052
53,054a8368-caf8-44cb-85df-12d9256a8ff2,2970,MCH-5b1162a765,KTX,4112,2026-07-02 13:53:00,36.442189,128.382701,KR,DEV-a104864052
54,054a8368-caf8-44cb-85df-12d9256a8ff2,144000,MCH-8fff18fdd2,노션,7372,2026-07-03 15:41:00,36.476425,128.362231,KR,DEV-a104864052
55,054a8368-caf8-44cb-85df-12d9256a8ff2,10170,MCH-5b1162a765,KTX,4112,2026-07-04 14:55:00,36.449806,128.36064,KR,DEV-a104864052
56,054a8368-caf8-44cb-85df-12d9256a8ff2,12870,MCH-06553b267c,카카오택시,4121,2026-07-04 18:47:00,36.480788,128.343041,KR,DEV-a104864052
57,054a8368-caf8-44cb-85df-12d9256a8ff2,8730,MCH-0d60345572,버스,4111,2026-07-04 22:11:00,36.474151,128.348058,KR,DEV-a104864052
58,054a8368-caf8-44cb-85df-12d9256a8ff2,32400,MCH-a5c765e6ce,프리스비,5732,2026-07-05 08:27:00,36.435974,128.359999,KR,DEV-a104864052
59,054a8368-caf8-44cb-85df-12d9256a8ff2,14940,MCH-5df4849ce1,지하철,4111,2026-07-05 16:32:00,36.459197,128.36955,KR,DEV-a104864052
60,054a8368-caf8-44cb-85df-12d9256a8ff2,4500,MCH-5b1162a765,KTX,4112,2026-07-06 12:26:00,36.46527,128.342384,KR,DEV-a104864052
61,054a8368-caf8-44cb-85df-12d9256a8ff2,39600,MCH-ba944121a3,무신사,5651,2026-07-06 18:33:00,36.450599,128.373336,KR,DEV-a104864052
62,054a8368-caf8-44cb-85df-12d9256a8ff2,108000,MCH-8fff18fdd2,노션,7372,2026-07-07 08:12:00,36.430235,128.349277,KR,DEV-a104864052
63,054a8368-caf8-44cb-85df-12d9256a8ff2,234000,MCH-8fff18fdd2,노션,7372,2026-07-07 08:25:00,36.434077,128.346564,KR,DEV-a104864052
64,054a8368-caf8-44cb-85df-12d9256a8ff2,108000,MCH-ca5e0a9e0b,AWS,7372,2026-07-07 21:01:00,36.46585,128.394553,KR,DEV-a104864052
65,054a8368-caf8-44cb-85df-12d9256a8ff2,53100,MCH-e7751d42a2,올리브영,5977,2026-07-08 15:45:00,36.432256,128.350933,KR,DEV-a104864052
66,054a8368-caf8-44cb-85df-12d9256a8ff2,30600,MCH-e7751d42a2,올리브영,5977,2026-07-08 17:25:00,36.455139,128.360591,KR,DEV-a104864052
67,054a8368-caf8-44cb-85df-12d9256a8ff2,225000,MCH-ca5e0a9e0b,AWS,7372,2026-07-09 16:29:00,36.478885,128.392273,KR,DEV-a104864052
68,054a8368-caf8-44cb-85df-12d9256a8ff2,89100,MCH-a5c765e6ce,프리스비,5732,2026-07-11 11:51:00,36.449694,128.363438,KR,DEV-a104864052
69,054a8368-caf8-44cb-85df-12d9256a8ff2,90000,MCH-ba944121a3,무신사,5651,2026-07-11 12:04:00,36.466701,128.371598,KR,DEV-a104864052
70,054a8368-caf8-44cb-85df-12d9256a8ff2,63000,MCH-493f24c455,쿠팡,5399,2026-07-12 10:16:00,36.465105,128.389371,KR,DEV-a104864052
71,054a8368-caf8-44cb-85df-12d9256a8ff2,74700,MCH-ba944121a3,무신사,5651,2026-07-13 12:08:00,36.450964,128.391804,KR,DEV-a104864052
72,054a8368-caf8-44cb-85df-12d9256a8ff2,5670,MCH-5b1162a765,KTX,4112,2026-07-13 14:30:00,36.474699,128.385725,KR,DEV-a104864052
73,054a8368-caf8-44cb-85df-12d9256a8ff2,56700,MCH-e7751d42a2,올리브영,5977,2026-07-16 10:52:00,36.462641,128.371434,KR,DEV-a104864052
74,054a8368-caf8-44cb-85df-12d9256a8ff2,7200,MCH-c563ceac18,맥도날드,5814,2026-07-16 20:55:00,36.479839,128.365059,KR,DEV-a104864052
75,054a8368-caf8-44cb-85df-12d9256a8ff2,27900,MCH-e7751d42a2,올리브영,5977,2026-07-16 21:00:00,36.461008,128.34365,KR,DEV-a104864052
76,054a8368-caf8-44cb-85df-12d9256a8ff2,10710,MCH-5b1162a765,KTX,4112,2026-07-17 11:40:00,36.438097,128.342435,KR,DEV-a104864052
77,054a8368-caf8-44cb-85df-12d9256a8ff2,7920,MCH-5df4849ce1,지하철,4111,2026-07-17 11:46:00,36.460732,128.393773,KR,DEV-a104864052
78,054a8368-caf8-44cb-85df-12d9256a8ff2,5400,MCH-c563ceac18,맥도날드,5814,2026-07-18 18:31:00,36.464623,128.345445,KR,DEV-a104864052
79,054a8368-caf8-44cb-85df-12d9256a8ff2,7020,MCH-5df4849ce1,지하철,4111,2026-07-19 10:32:00,36.446943,128.366879,KR,DEV-a104864052
80,054a8368-caf8-44cb-85df-12d9256a8ff2,18900,MCH-ab42b36c0b,배달의민족,5812,2026-07-19 12:12:00,36.443004,128.349136,KR,DEV-a104864052
81,054a8368-caf8-44cb-85df-12d9256a8ff2,819000,MCH-ca5e0a9e0b,AWS,7372,2026-07-20 08:58:00,36.442536,128.340719,KR,DEV-a104864052
82,054a8368-caf8-44cb-85df-12d9256a8ff2,12600,MCH-5df4849ce1,지하철,4111,2026-07-20 14:22:00,36.478407,128.381399,KR,DEV-a104864052
83,054a8368-caf8-44cb-85df-12d9256a8ff2,51300,MCH-a5c765e6ce,프리스비,5732,2026-07-20 19:44:00,36.453512,128.345708,KR,DEV-a104864052
84,054a8368-caf8-44cb-85df-12d9256a8ff2,82800,MCH-a5c765e6ce,프리스비,5732,2026-07-21 12:11:00,36.465149,128.371865,KR,DEV-a104864052
85,054a8368-caf8-44cb-85df-12d9256a8ff2,9090,MCH-5df4849ce1,지하철,4111,2026-07-21 13:19:00,36.451864,128.364498,KR,DEV-a104864052
86,054a8368-caf8-44cb-85df-12d9256a8ff2,16200,MCH-8e35d3c146,김밥천국,5812,2026-07-21 14:06:00,36.433982,128.365814,KR,DEV-a104864052
87,054a8368-caf8-44cb-85df-12d9256a8ff2,18000,MCH-c563ceac18,맥도날드,5814,2026-07-25 17:54:00,36.440244,128.353998,KR,DEV-a104864052
88,054a8368-caf8-44cb-85df-12d9256a8ff2,7920,MCH-5df4849ce1,지하철,4111,2026-07-25 20:28:00,36.480776,128.375321,KR,DEV-a104864052
89,054a8368-caf8-44cb-85df-12d9256a8ff2,10800,MCH-fb4fb59d3a,스타벅스,5814,2026-07-26 15:58:00,36.473198,128.344285,KR,DEV-a104864052
90,054a8368-caf8-44cb-85df-12d9256a8ff2,81900,MCH-e7751d42a2,올리브영,5977,2026-07-28 09:02:00,36.466385,128.386799,KR,DEV-a104864052
91,054a8368-caf8-44cb-85df-12d9256a8ff2,34200,MCH-ba944121a3,무신사,5651,2026-07-28 10:02:00,36.471566,128.345063,KR,DEV-a104864052
92,054a8368-caf8-44cb-85df-12d9256a8ff2,90000,MCH-cf62dbb6a8,게임아이템_스토어,7994,2026-07-28 21:16:00,36.43846,128.354086,KR,DEV-a104864052
93,054a8368-caf8-44cb-85df-12d9256a8ff2,90000,MCH-cf62dbb6a8,게임아이템_스토어,7994,2026-07-28 21:17:00,36.43846,128.354086,KR,DEV-a104864052
94,054a8368-caf8-44cb-85df-12d9256a8ff2,90000,MCH-cf62dbb6a8,게임아이템_스토어,7994,2026-07-28 21:18:00,36.43846,128.354086,KR,DEV-a104864052
95,054a8368-caf8-44cb-85df-12d9256a8ff2,16650,MCH-5b1162a765,KTX,4112,2026-07-28 22:05:00,36.441316,128.378174,KR,DEV-a104864052
96,054a8368-caf8-44cb-85df-12d9256a8ff2,20700,MCH-8e35d3c146,김밥천국,5812,2026-07-29 09:16:00,36.443893,128.351874,KR,DEV-a104864052
97,054a8368-caf8-44cb-85df-12d9256a8ff2,9900,MCH-ab42b36c0b,배달의민족,5812,2026-07-31 08:00:00,36.431259,128.390022,KR,DEV-a104864052
98,054a8368-caf8-44cb-85df-12d9256a8ff2,8640,MCH-5df4849ce1,지하철,4111,2026-07-31 10:29:00,36.437139,128.388572,KR,DEV-a104864052
99,054a8368-caf8-44cb-85df-12d9256a8ff2,198000,MCH-bed94775b8,패스트파이브,7011,2026-07-31 13:42:00,36.474005,128.367928,KR,DEV-a104864052
100,054a8368-caf8-44cb-85df-12d9256a8ff2,68400,MCH-493f24c455,쿠팡,5399,2026-08-02 10:35:00,36.446088,128.362264,KR,DEV-a104864052
101,054a8368-caf8-44cb-85df-12d9256a8ff2,27000,MCH-ab42b36c0b,배달의민족,5812,2026-08-02 14:40:00,36.480316,128.375871,KR,DEV-a104864052
102,054a8368-caf8-44cb-85df-12d9256a8ff2,87300,MCH-ba944121a3,무신사,5651,2026-08-02 15:59:00,36.48094,128.359,KR,DEV-a104864052
103,054a8368-caf8-44cb-85df-12d9256a8ff2,73800,MCH-ba944121a3,무신사,5651,2026-08-03 12:52:00,36.472539,128.359627,KR,DEV-a104864052
104,054a8368-caf8-44cb-85df-12d9256a8ff2,18000,MCH-ab42b36c0b,배달의민족,5812,2026-08-04 11:20:00,36.450418,128.351356,KR,DEV-a104864052
105,054a8368-caf8-44cb-85df-12d9256a8ff2,12780,MCH-06553b267c,카카오택시,4121,2026-08-04 14:36:00,36.469093,128.384704,KR,DEV-a104864052
106,054a8368-caf8-44cb-85df-12d9256a8ff2,1620,MCH-5b1162a765,KTX,4112,2026-08-05 08:50:00,36.458824,128.389866,KR,DEV-a104864052
107,054a8368-caf8-44cb-85df-12d9256a8ff2,17100,MCH-c563ceac18,맥도날드,5814,2026-08-05 19:20:00,36.478025,128.39015,KR,DEV-a104864052
108,054a8368-caf8-44cb-85df-12d9256a8ff2,12600,MCH-fb4fb59d3a,스타벅스,5814,2026-08-06 10:59:00,36.440636,128.36194,KR,DEV-a104864052
109,054a8368-caf8-44cb-85df-12d9256a8ff2,17910,MCH-0d60345572,버스,4111,2026-08-06 11:29:00,36.467799,128.358806,KR,DEV-a104864052
110,054a8368-caf8-44cb-85df-12d9256a8ff2,9000,MCH-c563ceac18,맥도날드,5814,2026-08-06 22:08:00,36.456095,128.374964,KR,DEV-a104864052
111,054a8368-caf8-44cb-85df-12d9256a8ff2,12510,MCH-5df4849ce1,지하철,4111,2026-08-07 10:11:00,36.461662,128.366014,KR,DEV-a104864052
112,054a8368-caf8-44cb-85df-12d9256a8ff2,48600,MCH-a5c765e6ce,프리스비,5732,2026-08-08 22:42:00,36.461722,128.351336,KR,DEV-a104864052
113,054a8368-caf8-44cb-85df-12d9256a8ff2,78300,MCH-e7751d42a2,올리브영,5977,2026-08-09 14:57:00,36.462696,128.342288,KR,DEV-a104864052
114,054a8368-caf8-44cb-85df-12d9256a8ff2,70200,MCH-e7751d42a2,올리브영,5977,2026-08-10 14:29:00,36.4535,128.390985,KR,DEV-a104864052
115,054a8368-caf8-44cb-85df-12d9256a8ff2,945000,MCH-e7751d42a2,올리브영,5977,2026-08-10 17:03:00,36.47174,128.377096,KR,DEV-a104864052
116,054a8368-caf8-44cb-85df-12d9256a8ff2,216000,MCH-bed94775b8,패스트파이브,7011,2026-08-12 12:44:00,36.445007,128.362088,KR,DEV-a104864052
117,054a8368-caf8-44cb-85df-12d9256a8ff2,189000,MCH-53b4838ce6,어도비(Adobe),5734,2026-08-12 13:21:00,36.475714,128.380692,KR,DEV-a104864052
118,054a8368-caf8-44cb-85df-12d9256a8ff2,9900,MCH-ab42b36c0b,배달의민족,5812,2026-08-12 16:26:00,36.451532,128.377496,KR,DEV-a104864052
119,054a8368-caf8-44cb-85df-12d9256a8ff2,56700,MCH-ba944121a3,무신사,5651,2026-08-13 17:48:00,36.451302,128.371365,KR,DEV-a104864052
120,054a8368-caf8-44cb-85df-12d9256a8ff2,25200,MCH-8e35d3c146,김밥천국,5812,2026-08-13 21:10:00,36.439602,128.389865,KR,DEV-a104864052
121,054a8368-caf8-44cb-85df-12d9256a8ff2,180000,MCH-ca5e0a9e0b,AWS,7372,2026-08-14 08:46:00,36.475886,128.390336,KR,DEV-a104864052
122,054a8368-caf8-44cb-85df-12d9256a8ff2,42300,MCH-a5c765e6ce,프리스비,5732,2026-08-14 18:16:00,36.453484,128.35091,KR,DEV-a104864052
123,054a8368-caf8-44cb-85df-12d9256a8ff2,83700,MCH-ba944121a3,무신사,5651,2026-08-15 10:17:00,36.469172,128.380844,KR,DEV-a104864052
124,054a8368-caf8-44cb-85df-12d9256a8ff2,90000,MCH-bed94775b8,패스트파이브,7011,2026-08-15 16:52:00,36.457771,128.393498,KR,DEV-a104864052
125,054a8368-caf8-44cb-85df-12d9256a8ff2,216000,MCH-8fff18fdd2,노션,7372,2026-08-15 19:47:00,36.433907,128.359613,KR,DEV-a104864052
126,054a8368-caf8-44cb-85df-12d9256a8ff2,11700,MCH-ab42b36c0b,배달의민족,5812,2026-08-16 08:54:00,36.445726,128.383751,KR,DEV-a104864052
127,054a8368-caf8-44cb-85df-12d9256a8ff2,22500,MCH-e7751d42a2,올리브영,5977,2026-08-16 16:27:00,36.468964,128.377275,KR,DEV-a104864052
128,054a8368-caf8-44cb-85df-12d9256a8ff2,7200,MCH-fb4fb59d3a,스타벅스,5814,2026-08-17 14:37:00,36.440933,128.345994,KR,DEV-a104864052
129,054a8368-caf8-44cb-85df-12d9256a8ff2,70200,MCH-a5c765e6ce,프리스비,5732,2026-08-18 15:38:00,36.459867,128.383995,KR,DEV-a104864052
130,054a8368-caf8-44cb-85df-12d9256a8ff2,23400,MCH-493f24c455,쿠팡,5399,2026-08-18 20:43:00,36.441601,128.392926,KR,DEV-a104864052
131,054a8368-caf8-44cb-85df-12d9256a8ff2,9000,MCH-ab42b36c0b,배달의민족,5812,2026-08-19 08:00:00,36.429715,128.361349,KR,DEV-a104864052
132,054a8368-caf8-44cb-85df-12d9256a8ff2,153000,MCH-ca5e0a9e0b,AWS,7372,2026-08-20 18:48:00,36.447878,128.352197,KR,DEV-a104864052
133,0ded7c85-0a4d-4c84-b917-da91d512a750,84600,MCH-a5c765e6ce,프리스비,5732,2026-05-25 11:18:00,35.546219,128.137391,KR,DEV-a9934025d3
134,0ded7c85-0a4d-4c84-b917-da91d512a750,4500,MCH-fb4fb59d3a,스타벅스,5814,2026-05-25 13:56:00,35.560811,128.124372,KR,DEV-a9934025d3
135,0ded7c85-0a4d-4c84-b917-da91d512a750,21600,MCH-c563ceac18,맥도날드,5814,2026-05-25 15:06:00,35.514494,128.123786,KR,DEV-a9934025d3
136,0ded7c85-0a4d-4c84-b917-da91d512a750,162000,MCH-8fff18fdd2,노션,7372,2026-05-26 09:39:00,35.556292,128.124899,KR,DEV-a9934025d3
137,0ded7c85-0a4d-4c84-b917-da91d512a750,30600,MCH-e7751d42a2,올리브영,5977,2026-05-27 21:44:00,35.563546,128.14011,KR,DEV-a9934025d3
138,0ded7c85-0a4d-4c84-b917-da91d512a750,198000,MCH-53b4838ce6,어도비(Adobe),5734,2026-05-29 08:32:00,35.56187,128.138536,KR,DEV-a9934025d3
139,0ded7c85-0a4d-4c84-b917-da91d512a750,252000,MCH-ca5e0a9e0b,AWS,7372,2026-05-29 12:45:00,35.543885,128.144758,KR,DEV-a9934025d3
140,0ded7c85-0a4d-4c84-b917-da91d512a750,13500,MCH-ab42b36c0b,배달의민족,5812,2026-05-29 21:08:00,35.537181,128.137281,KR,DEV-a9934025d3
141,0ded7c85-0a4d-4c84-b917-da91d512a750,13500,MCH-8e35d3c146,김밥천국,5812,2026-05-30 12:32:00,35.532308,128.139253,KR,DEV-a9934025d3
142,0ded7c85-0a4d-4c84-b917-da91d512a750,73800,MCH-a5c765e6ce,프리스비,5732,2026-05-31 14:50:00,35.550637,128.117178,KR,DEV-a9934025d3
143,0ded7c85-0a4d-4c84-b917-da91d512a750,13230,MCH-5b1162a765,KTX,4112,2026-05-31 20:43:00,35.553174,128.12003,KR,DEV-a9934025d3
144,0ded7c85-0a4d-4c84-b917-da91d512a750,162000,MCH-8fff18fdd2,노션,7372,2026-06-04 14:56:00,35.540892,128.150534,KR,DEV-a9934025d3
145,0ded7c85-0a4d-4c84-b917-da91d512a750,16560,MCH-06553b267c,카카오택시,4121,2026-06-04 22:41:00,35.551585,128.121147,KR,DEV-a9934025d3
146,0ded7c85-0a4d-4c84-b917-da91d512a750,243000,MCH-ca5e0a9e0b,AWS,7372,2026-06-05 14:28:00,35.526791,128.116287,KR,DEV-a9934025d3
147,0ded7c85-0a4d-4c84-b917-da91d512a750,53100,MCH-ba944121a3,무신사,5651,2026-06-05 22:51:00,35.557812,128.131433,KR,DEV-a9934025d3
148,0ded7c85-0a4d-4c84-b917-da91d512a750,18900,MCH-ab42b36c0b,배달의민족,5812,2026-06-06 13:48:00,35.537968,128.126916,KR,DEV-a9934025d3
149,0ded7c85-0a4d-4c84-b917-da91d512a750,18000,MCH-5b1162a765,KTX,4112,2026-06-06 19:47:00,35.557455,128.10224,KR,DEV-a9934025d3
150,0ded7c85-0a4d-4c84-b917-da91d512a750,6840,MCH-0d60345572,버스,4111,2026-06-06 21:49:00,35.511101,128.145809,KR,DEV-a9934025d3
151,0ded7c85-0a4d-4c84-b917-da91d512a750,4140,MCH-0d60345572,버스,4111,2026-06-07 08:48:00,35.515805,128.100924,KR,DEV-a9934025d3
152,0ded7c85-0a4d-4c84-b917-da91d512a750,52200,MCH-ba944121a3,무신사,5651,2026-06-07 11:51:00,35.516578,128.11379,KR,DEV-a9934025d3
153,0ded7c85-0a4d-4c84-b917-da91d512a750,144000,MCH-ca5e0a9e0b,AWS,7372,2026-06-07 12:18:00,35.541272,128.136314,KR,DEV-a9934025d3
154,0ded7c85-0a4d-4c84-b917-da91d512a750,9630,MCH-5df4849ce1,지하철,4111,2026-06-08 15:06:00,35.537925,128.11107,KR,DEV-a9934025d3
155,0ded7c85-0a4d-4c84-b917-da91d512a750,90000,MCH-bed94775b8,패스트파이브,7011,2026-06-09 10:32:00,35.5637,128.134928,KR,DEV-a9934025d3
156,0ded7c85-0a4d-4c84-b917-da91d512a750,99000,MCH-bed94775b8,패스트파이브,7011,2026-06-09 15:04:00,35.514265,128.101046,KR,DEV-a9934025d3
157,0ded7c85-0a4d-4c84-b917-da91d512a750,7380,MCH-5b1162a765,KTX,4112,2026-06-09 17:31:00,35.538281,128.129481,KR,DEV-a9934025d3
158,0ded7c85-0a4d-4c84-b917-da91d512a750,72000,MCH-bed94775b8,패스트파이브,7011,2026-06-10 09:23:00,35.560866,128.117648,KR,DEV-a9934025d3
159,0ded7c85-0a4d-4c84-b917-da91d512a750,8280,MCH-0d60345572,버스,4111,2026-06-10 12:31:00,35.512012,128.105971,KR,DEV-a9934025d3
160,0ded7c85-0a4d-4c84-b917-da91d512a750,17100,MCH-c563ceac18,맥도날드,5814,2026-06-10 15:02:00,35.547917,128.144347,KR,DEV-a9934025d3
